"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Pivotable date"
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2013-03,140,monthly,316791,2013-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-03,7663,monthly,312289,2013-03-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2013-04,116,monthly,317049,2013-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-04,7388,monthly,320921,2013-04-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2013-05,151,monthly,323217,2013-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-05,9010,monthly,322324,2013-05-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2013-06,181,monthly,320978,2013-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-06,8930,monthly,324518,2013-06-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2013-07,236,monthly,322698,2013-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-07,10889,monthly,332988,2013-07-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2013-08,233,monthly,324151,2013-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-08,11153,monthly,335743,2013-08-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2013-09,235,monthly,322689,2013-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-09,10276,monthly,340494,2013-09-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2013-10,173,monthly,326857,2013-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-10,10935,monthly,340045,2013-10-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2013-11,161,monthly,326304,2013-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-11,11427,monthly,343749,2013-11-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2013-12,203,monthly,340156,2013-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-12,10775,monthly,352028,2013-12-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2014-01,149,monthly,332630,2014-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-01,9966,monthly,355830,2014-01-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2014-02,149,monthly,336920,2014-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-02,9363,monthly,357876,2014-02-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2014-03,166,monthly,328271,2014-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-03,9537,monthly,361400,2014-03-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2014-04,128,monthly,342230,2014-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-04,9809,monthly,375337,2014-04-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2014-05,135,monthly,351716,2014-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-05,10155,monthly,382705,2014-05-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2014-06,213,monthly,366614,2014-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-06,10486,monthly,387182,2014-06-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2014-07,158,monthly,369575,2014-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-07,11340,monthly,398737,2014-07-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2014-08,162,monthly,371578,2014-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-08,11243,monthly,404754,2014-08-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2014-09,242,monthly,373745,2014-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-09,10437,monthly,403670,2014-09-01
